code,single,multi_1,multi_2
'00DP4ZZ','1','1','1.1'
'00DQ0ZZ','1','1','1.1'
'00DQ3ZZ','1','1','1.1'
'00DQ4ZZ','1','1','1.1'
'00DR0ZZ','1','1','1.1'
'00DR3ZZ','1','1','1.1'
'00DR4ZZ','1','1','1.1'
'00DS0ZZ','1','1','1.1'
'00DS3ZZ','1','1','1.1'
'00DS4ZZ','1','1','1.1'
'00DT0ZZ','1','1','1.1'
'00DT3ZZ','1','1','1.1'
'00DT4ZZ','1','1','1.1'
'00T70ZZ','1','1','1.1'
'00T73ZZ','1','1','1.1'
'00T74ZZ','1','1','1.1'
'0W9100Z','1','1','1.1'
'0W910ZZ','1','1','1.1'
'0W9130Z','1','1','1.1'
'0W913ZZ','1','1','1.1'
'0W9140Z','1','1','1.1'
'0W914ZZ','1','1','1.1'
'0WC10ZZ','1','1','1.1'
'0WC13ZZ','1','1','1.1'
'0WC14ZZ','1','1','1.1'
'0WH103Z','1','1','1.1'
'0WH10YZ','1','1','1.1'
'0WH133Z','1','1','1.1'
'0WH13YZ','1','1','1.1'
'0WH143Z','1','1','1.1'
'0WH14YZ','1','1','1.1'
'3E0Q028','1','1','1.1'
'3E0Q029','1','1','1.1'
'3E0Q03Z','1','1','1.1'
'3E0Q06Z','1','1','1.1'
'3E0Q07Z','1','1','1.1'
'3E0Q0AZ','1','1','1.1'
'3E0Q0BZ','1','1','1.1'
'3E0Q0E0','1','1','1.1'
'3E0Q0E1','1','1','1.1'
'3E0Q0GC','1','1','1.1'
'3E0Q0NZ','1','1','1.1'
'3E0Q0SF','1','1','1.1'
'3E0Q0TZ','1','1','1.1'
'0G5G0ZZ','10','2','2.1'
'0G5G3ZZ','10','2','2.1'
'0G5G4ZZ','10','2','2.1'
'0G5H0ZZ','10','2','2.1'
'0G5H3ZZ','10','2','2.1'
'0G5H4ZZ','10','2','2.1'
'0G5K0ZZ','10','2','2.1'
'0G5K3ZZ','10','2','2.1'
'0G5K4ZZ','10','2','2.1'
'0GBG0ZZ','10','2','2.1'
'0GBG3ZZ','10','2','2.1'
'0GBG4ZZ','10','2','2.1'
'0GBH0ZZ','10','2','2.1'
'0GBH3ZZ','10','2','2.1'
'0GBH4ZZ','10','2','2.1'
'0GBJ0ZZ','10','2','2.1'
'0GBJ3ZZ','10','2','2.1'
'0GBJ4ZZ','10','2','2.1'
'0GTG0ZZ','10','2','2.1'
'0GTG4ZZ','10','2','2.1'
'0GTH0ZZ','10','2','2.1'
'0GTH4ZZ','10','2','2.1'
'0GTK0ZZ','10','2','2.1'
'0GTK4ZZ','10','2','2.1'
'0T908ZX','100','10','10.1'
'0T914ZX','100','10','10.1'
'0T918ZX','100','10','10.1'
'0T964ZX','100','10','10.1'
'0T968ZX','100','10','10.1'
'0T974ZX','100','10','10.1'
'0T978ZX','100','10','10.1'
'0T984ZX','100','10','10.1'
'0T988ZX','100','10','10.1'
'0T9B4ZX','100','10','10.1'
'0T9B8ZX','100','10','10.1'
'0T9C4ZX','100','10','10.1'
'0T9C8ZX','100','10','10.1'
'0T9D4ZX','100','10','10.1'
'0T9D8ZX','100','10','10.1'
