code,multi_1,multi_2,multi_3,multi_4
'0381 ','1','1.1','1.1.2','1.1.2.2'
'03810','1','1.1','1.1.2','1.1.2.2'
'03811','1','1.1','1.1.2','1.1.2.2'
'03812','1','1.1','1.1.2','1.1.2.2'
'03819','1','1.1','1.1.2','1.1.2.2'
'03842','1','1.1','1.1.2','1.1.2.3'
'03840','1','1.1','1.1.2','1.1.2.4'
'03841','1','1.1','1.1.2','1.1.2.4'
'03843','1','1.1','1.1.2','1.1.2.4'
'03844','1','1.1','1.1.2','1.1.2.4'
'03849','1','1.1','1.1.2','1.1.2.4'
'0031 ','1','1.1','1.1.2','1.1.2.5'
'0202 ','1','1.1','1.1.2','1.1.2.5'
'0223 ','1','1.1','1.1.2','1.1.2.5'
'0362 ','1','1.1','1.1.2','1.1.2.5'
'0382 ','1','1.1','1.1.2','1.1.2.5'
'0383 ','1','1.1','1.1.2','1.1.2.5'
'0545 ','1','1.1','1.1.2','1.1.2.5'
'0388 ','1','1.1','1.1.2','1.1.2.6'
'0389 ','1','1.1','1.1.2','1.1.2.6'
'449  ','1','1.1','1.1.2','1.1.2.6'
'77181','1','1.1','1.1.2','1.1.2.6'
'7907 ','1','1.1','1.1.2','1.1.2.6'
'99591','1','1.1','1.1.2','1.1.2.6'
'99592','1','1.1','1.1.2','1.1.2.6'
'0900 ','1','1.1','1.1.3',' '
'0901 ','1','1.1','1.1.3',' '
'0902 ','1','1.1','1.1.3',' '
'0903 ','1','1.1','1.1.3',' '
'09040','1','1.1','1.1.3',' '
'09041','1','1.1','1.1.3',' '
'09042','1','1.1','1.1.3',' '
'09049','1','1.1','1.1.3',' '
'0905 ','1','1.1','1.1.3',' '
'0906 ','1','1.1','1.1.3',' '
'0907 ','1','1.1','1.1.3',' '
'0909 ','1','1.1','1.1.3',' '
'0910 ','1','1.1','1.1.3',' '
'0911 ','1','1.1','1.1.3',' '
'0912 ','1','1.1','1.1.3',' '
'0913 ','1','1.1','1.1.3',' '
'0914 ','1','1.1','1.1.3',' '
'09150','1','1.1','1.1.3',' '
'09151','1','1.1','1.1.3',' '
'09152','1','1.1','1.1.3',' '
'09161','1','1.1','1.1.3',' '
'09162','1','1.1','1.1.3',' '
'09169','1','1.1','1.1.3',' '
'0917 ','1','1.1','1.1.3',' '
'09181','1','1.1','1.1.3',' '
'09182','1','1.1','1.1.3',' '
'09189','1','1.1','1.1.3',' '
'0919 ','1','1.1','1.1.3',' '
'0920 ','1','1.1','1.1.3',' '
'0929 ','1','1.1','1.1.3',' '
'0930 ','1','1.1','1.1.3',' '
'0931 ','1','1.1','1.1.3',' '
'09320','1','1.1','1.1.3',' '
'09321','1','1.1','1.1.3',' '
'09322','1','1.1','1.1.3',' '
